gadm_name,year,dengue_total,n_months,source
Gia Lai,1994,69,10,OpenDengue
Gia Lai,1995,121,12,OpenDengue
Gia Lai,1996,92,12,OpenDengue
Gia Lai,1997,675,12,OpenDengue
Gia Lai,1998,3254,12,OpenDengue
Gia Lai,1999,235,12,OpenDengue
Gia Lai,2000,220,12,OpenDengue
Gia Lai,2001,523,12,OpenDengue
Gia Lai,2002,926,12,OpenDengue
Gia Lai,2003,175,12,OpenDengue
Gia Lai,2004,191,12,OpenDengue
Gia Lai,2005,180,12,OpenDengue
Gia Lai,2006,542,12,OpenDengue
Gia Lai,2007,662,12,OpenDengue
Gia Lai,2008,466,12,OpenDengue
Gia Lai,2009,337,12,OpenDengue
Gia Lai,2010,3565,12,OpenDengue
Gia Lai,2011,98,12,GDPM
Gia Lai,2012,663,12,GDPM
Gia Lai,2013,1814,12,GDPM
Gia Lai,2014,219,12,GDPM
Gia Lai,2015,3022,12,GDPM
Gia Lai,2016,13216,12,GDPM
Gia Lai,2017,2926,12,GDPM
Hoà Bình,1994,8,10,OpenDengue
Hoà Bình,1995,18,12,OpenDengue
Hoà Bình,1996,11,12,OpenDengue
Hoà Bình,1997,1,12,OpenDengue
Hoà Bình,1998,1,12,OpenDengue
Hoà Bình,1999,3,12,OpenDengue
Hoà Bình,2000,0,12,OpenDengue
Hoà Bình,2001,12,12,OpenDengue
Hoà Bình,2002,0,12,OpenDengue
Hoà Bình,2003,1,12,OpenDengue
Hoà Bình,2004,1,12,OpenDengue
Hoà Bình,2005,0,12,OpenDengue
Hoà Bình,2006,1,12,OpenDengue
Hoà Bình,2007,3,12,OpenDengue
Hoà Bình,2008,2,12,OpenDengue
Hoà Bình,2009,16,12,OpenDengue
Hoà Bình,2010,33,12,OpenDengue
Hoà Bình,2011,7,12,GDPM
Hoà Bình,2012,0,12,GDPM
Hoà Bình,2013,0,12,GDPM
Hoà Bình,2014,0,12,GDPM
Hoà Bình,2015,19,12,GDPM
Hoà Bình,2016,20,12,GDPM
Hoà Bình,2017,531,12,GDPM
Hà Giang,1994,0,10,OpenDengue
Hà Giang,1995,0,12,OpenDengue
Hà Giang,1996,0,12,OpenDengue
Hà Giang,1997,0,12,OpenDengue
Hà Giang,1998,0,12,OpenDengue
Hà Giang,1999,0,12,OpenDengue
Hà Giang,2000,15,12,OpenDengue
Hà Giang,2001,0,12,OpenDengue
Hà Giang,2002,0,12,OpenDengue
Hà Giang,2003,0,12,OpenDengue
Hà Giang,2004,2,12,OpenDengue
Hà Giang,2005,0,12,OpenDengue
Hà Giang,2006,0,12,OpenDengue
Hà Giang,2007,0,12,OpenDengue
Hà Giang,2008,0,12,OpenDengue
Hà Giang,2009,0,12,OpenDengue
Hà Giang,2010,0,12,OpenDengue
Hà Giang,2011,0,12,GDPM
Hà Giang,2012,0,12,GDPM
Hà Giang,2013,0,12,GDPM
Hà Giang,2014,0,12,GDPM
Hà Giang,2015,0,12,GDPM
Hà Giang,2016,0,12,GDPM
Hà Giang,2017,43,12,GDPM
Hà Nam,1997,3,12,OpenDengue
Hà Nam,1998,44,12,OpenDengue
Hà Nam,1999,6,12,OpenDengue
Hà Nam,2000,121,12,OpenDengue
Hà Nam,2001,0,12,OpenDengue
Hà Nam,2002,4,12,OpenDengue
Hà Nam,2003,9,12,OpenDengue
Hà Nam,2004,10,12,OpenDengue
Hà Nam,2005,19,12,OpenDengue
Hà Nam,2006,7,12,OpenDengue
Hà Nam,2007,3,12,OpenDengue
Hà Nam,2008,4,12,OpenDengue
Hà Nam,2009,0,12,OpenDengue
Hà Nam,2010,15,12,OpenDengue
Hà Nam,2011,3,12,GDPM
Hà Nam,2012,7,12,GDPM
Hà Nam,2013,20,12,GDPM
Hà Nam,2014,3,12,GDPM
Hà Nam,2015,21,12,GDPM
Hà Nam,2016,63,12,GDPM
Hà Nam,2017,819,12,GDPM
Hà Nội,1994,1187,21,OpenDengue
Hà Nội,1995,98,24,OpenDengue
Hà Nội,1996,198,24,OpenDengue
Hà Nội,1997,140,24,OpenDengue
Hà Nội,1998,5754,24,OpenDengue
Hà Nội,1999,708,24,OpenDengue
Hà Nội,2000,108,24,OpenDengue
Hà Nội,2001,140,24,OpenDengue
Hà Nội,2002,99,24,OpenDengue
