gadm_name,year,observed,population,expected,sir_raw,province_id,time_id
Nghệ An,2007,95,2904349,3633.8870837538793,0.02614280460851939,35,14
Nghệ An,2008,1345,2908671,3313.659205844766,0.40589569308383755,35,15
Nghệ An,2009,473,2913000,3577.0884999067684,0.13223044384066204,35,16
Nghệ An,2010,0,2917335,4315.961013888148,0,35,17
Ninh Bình,1994,4,899500,601.1414854515821,0.006654007578590537,36,1
Ninh Bình,1995,2,899400,1105.8647088210316,0.001808539493164775,36,2
Ninh Bình,1996,0,899300,1224.819660802044,0,36,3
Ninh Bình,1997,0,899200,1318.570418757669,0,36,4
Ninh Bình,1998,13,899100,2860.7919071946317,0.0045441963000895595,36,5
Ninh Bình,1999,0,899000,432.2778239536692,0,36,6
Ninh Bình,2000,1,898900,301.3080579485876,0.003318862451964795,36,7
Ninh Bình,2001,0,898800,495.5043225245507,0,36,8
Ninh Bình,2002,0,898700,368.6148277473942,0,36,9
Ninh Bình,2003,7,898600,573.5311889044539,0.012205090386402943,36,10
Ninh Bình,2004,3,898500,878.1896600442543,0.003416118563555875,36,11
Ninh Bình,2005,7,898400,629.2922139619975,0.011123608150064804,36,12
Ninh Bình,2006,0,898300,748.9878937133288,0,36,13
Ninh Bình,2007,0,898200,1123.817206068463,0,36,14
Ninh Bình,2008,1,898100,1023.1467679806977,9.773768840355321e-4,36,15
Ninh Bình,2009,2,898000,1102.7207253402946,0.0018136958470448708,36,16
Ninh Bình,2010,12,897900,1328.3703772004822,0.009033625113870571,36,17
Ninh Thuận,1994,797,471772,315.2881832956796,2.527846085663691,37,1
Ninh Thuận,1995,2537,477478,587.0870240587598,4.321335502291871,37,2
Ninh Thuận,1996,4374,483253,658.1761097982544,6.64563774783732,37,3
Ninh Thuận,1997,5364,489098,717.2043535070488,7.47903993299907,37,4
Ninh Thuận,1998,6176,495013,1575.0519234302483,3.921140572019692,37,5
Ninh Thuận,1999,1830,501000,240.9023245837467,7.596439773514196,37,6
Ninh Thuận,2000,1108,507059,169.964359278399,6.519013778559969,37,7
Ninh Thuận,2001,1096,513192,282.9203986259671,3.8738811528714088,37,8
Ninh Thuận,2002,231,519399,213.0390262792576,1.084308373139101,37,9
Ninh Thuận,2003,63,525681,335.51574550910556,0.18777062132927602,37,10
Ninh Thuận,2004,157,532039,520.0124079468949,0.30191587277669973,37,11
Ninh Thuận,2005,310,538473,377.17816821990056,0.8218927449142956,37,12
Ninh Thuận,2006,1605,544986,454.4004411034757,3.5321268529193848,37,13
Ninh Thuận,2007,498,551577,690.1266121928575,0.7216067185376598,37,14
Ninh Thuận,2008,563,558248,635.9755449634657,0.8852541649731864,37,15
Ninh Thuận,2009,740,565000,693.8053561439492,1.0665815613081926,37,16
Ninh Thuận,2010,1554,571833,845.9806413917844,1.8369214660082545,37,17
Phú Thọ,1994,0,1274224,851.57188233247,0,38,1
Phú Thọ,1995,0,1276968,1570.1065660371082,0,38,2
Phú Thọ,1996,0,1279717,1742.9362191288885,0,38,3
